 : 1190327 occurence
C400_P500_E323 : 1 occurence
N550_S536 : 1 occurence
S514_H323 : 1 occurence
T250_P632 : 1 occurence
V231_C600 : 1 occurence
O653_D213 : 1 occurence
B420_U100 : 1 occurence
D526 : 23 occurence
S530_T236 : 1 occurence
C632_A623 : 1 occurence
S600_D616 : 1 occurence
S134_D265 : 1 occurence
S524_D500 : 1 occurence
T500_B400 : 1 occurence
B200_T621 : 1 occurence
F636_B513 : 1 occurence
P432_U114 : 1 occurence
R200_C430 : 1 occurence
P242 : 12 occurence
C240_R400 : 1 occurence
F463_S630 : 1 occurence
M252_C424 : 1 occurence
R230_F500 : 1 occurence
H650_P630 : 1 occurence
S150_L123 : 1 occurence
N612_A532 : 1 occurence
G500_K510 : 1 occurence
P625_M560 : 1 occurence
T000_S620_D254 : 1 occurence
S245_V233 : 1 occurence
M432_L500 : 2 occurence
G640_R200 : 1 occurence
P524_E626 : 1 occurence
P635_A326 : 1 occurence
Q000 : 4 occurence
R261_P623 : 1 occurence
W400_M530 : 2 occurence
C652_S365 : 1 occurence
G532_C300 : 1 occurence
L100_S520_B422 : 1 occurence
A610_L300 : 1 occurence
A300_S650 : 1 occurence
B420_V500_W140 : 1 occurence
F656_C420 : 1 occurence
B632_A315 : 1 occurence
H634_D500 : 2 occurence
N230_B550 : 1 occurence
P612_I100 : 1 occurence
R212_T426 : 1 occurence
V240_W400 : 1 occurence
D124_F230_B000 : 1 occurence
C614_L500 : 1 occurence
M534_B435 : 1 occurence
S410_S326 : 1 occurence
P623_M540 : 1 occurence
M530_B245 : 1 occurence
L114_C623 : 1 occurence
V623 : 8 occurence
C426_S635 : 1 occurence
G300_M500 : 2 occurence
G435_C650 : 1 occurence
N242_S200 : 1 occurence
G650_S430 : 1 occurence
C420_L520 : 1 occurence
D152_A365 : 1 occurence
O360_L360 : 1 occurence
S540_L200 : 2 occurence
R600_D600 : 1 occurence
Z623_T633 : 1 occurence
S430_L160 : 1 occurence
M453_L520 : 1 occurence
V200_I532 : 1 occurence
S552_I514 : 1 occurence
M535_Q400 : 1 occurence
S423_P616 : 1 occurence
I562_E536 : 1 occurence
S525_H130 : 1 occurence
F420_R230 : 1 occurence
B314 : 10 occurence
G626_A240 : 1 occurence
H263_W230_I525 : 1 occurence
G615_T400 : 1 occurence
D625_P456 : 1 occurence
C360_B620 : 1 occurence
H362_S413 : 2 occurence
I523_R225 : 4 occurence
T425_B140 : 1 occurence
S340_A642 : 1 occurence
B636_I512 : 1 occurence
S123_R354 : 1 occurence
S211 : 4 occurence
E232_F630 : 1 occurence
I612_R225 : 1 occurence
N660 : 2 occurence
G600_B630 : 3 occurence
M340_E236_C250 : 1 occurence
M324_I523 : 1 occurence
S154_M143 : 1 occurence
C552_R143 : 2 occurence
F540_Q415_R530 : 1 occurence
M200_C520 : 2 occurence
P226 : 3 occurence
A530_J325 : 1 occurence
W300_A524 : 2 occurence
E352_G610 : 1 occurence
A325_S365 : 1 occurence
D400_R350 : 2 occurence
G600_J230 : 1 occurence
U100_C533 : 1 occurence
L131_S650 : 1 occurence
I353_F630 : 1 occurence
R431_F000 : 1 occurence
P616_S320 : 1 occurence
C200_P360_M430 : 1 occurence
T300_B630 : 1 occurence
M300_F653 : 2 occurence
M100_S310 : 1 occurence
R340_S253 : 1 occurence
C500_T000 : 2 occurence
F460_S100 : 1 occurence
E423_M562 : 1 occurence
B420_M500 : 1 occurence
D320_C615 : 1 occurence
P230_N300 : 2 occurence
S520_I516 : 1 occurence
E235_R200 : 1 occurence
T600_S414 : 1 occurence
W352_C200 : 1 occurence
W435 : 4 occurence
R210_E650_P220 : 1 occurence
N636_M252 : 1 occurence
W400_G655 : 1 occurence
C460_W400 : 1 occurence
F640_P250 : 1 occurence
R262_G610 : 1 occurence
T652_H252_F243 : 1 occurence
C515_B350_L500 : 1 occurence
P613_O150 : 1 occurence
S330_A554 : 1 occurence
S600_E216 : 1 occurence
A634_B360 : 1 occurence
A124_P320 : 1 occurence
S600_F623 : 1 occurence
U656_C424 : 1 occurence
B640_M530 : 1 occurence
N600_B200 : 1 occurence
P635_P510_I513 : 1 occurence
Q200_B630 : 1 occurence
O150_E000 : 1 occurence
M252_M415 : 1 occurence
L250_C513 : 1 occurence
E113 : 3 occurence
U260_T420_S416_S650 : 1 occurence
S360_M220 : 1 occurence
D241 : 9 occurence
